dsamus 00 article vc_narration_characall_dsamus_article
dsamus 01 article vc_narration_characall_dsamus_article
dsamus 02 article vc_narration_characall_dsamus_article
dsamus 03 article vc_narration_characall_dsamus_article
dsamus 04 article vc_narration_characall_dsamus_article
dsamus 05 article vc_narration_characall_dsamus_article
dsamus 06 article vc_narration_characall_dsamus_article
dsamus 07 article vc_narration_characall_dsamus_article
ice_climber 04 cIndex 4
ice_climber 05 cIndex 4
ice_climber 06 cIndex 4
ice_climber 07 cIndex 4
ice_climber 04 cGroup 4
ice_climber 05 cGroup 4
ice_climber 06 cGroup 4
ice_climber 07 cGroup 4
ice_climber 00 label vc_narration_characall_iceclimber
ice_climber 01 label vc_narration_characall_iceclimber
ice_climber 02 label vc_narration_characall_iceclimber
ice_climber 03 label vc_narration_characall_iceclimber
ice_climber 04 label vc_narration_characall_iceclimber
ice_climber 05 label vc_narration_characall_iceclimber
ice_climber 06 label vc_narration_characall_iceclimber
ice_climber 07 label vc_narration_characall_iceclimber
ice_climber 00 article vc_narration_characall_iceclimber_article
ice_climber 01 article vc_narration_characall_iceclimber_article
ice_climber 02 article vc_narration_characall_iceclimber_article
ice_climber 03 article vc_narration_characall_iceclimber_article
ice_climber 04 article vc_narration_characall_iceclimber_article
ice_climber 05 article vc_narration_characall_iceclimber_article
ice_climber 06 article vc_narration_characall_iceclimber_article
ice_climber 07 article vc_narration_characall_iceclimber_article
roy 00 label vc_narration_characall_roy_append
roy 01 label vc_narration_characall_roy_append
roy 02 label vc_narration_characall_roy_append
roy 03 label vc_narration_characall_roy_append
roy 04 label vc_narration_characall_roy_append
roy 05 label vc_narration_characall_roy_append
roy 06 label vc_narration_characall_roy_append
roy 07 label vc_narration_characall_roy_append
pitb 00 article vc_narration_characall_pitb_article
pitb 01 article vc_narration_characall_pitb_article
pitb 02 article vc_narration_characall_pitb_article
pitb 03 article vc_narration_characall_pitb_article
pitb 04 article vc_narration_characall_pitb_article
pitb 05 article vc_narration_characall_pitb_article
pitb 06 article vc_narration_characall_pitb_article
pitb 07 article vc_narration_characall_pitb_article
wario 01 cIndex 1
wario 03 cIndex 1
wario 05 cIndex 1
wario 07 cIndex 1
wario 01 cGroup 1
wario 03 cGroup 1
wario 05 cGroup 1
wario 07 cGroup 1
ike 01 cIndex 1
ike 03 cIndex 1
ike 05 cIndex 1
ike 07 cIndex 1
ike 01 cGroup 1
ike 03 cGroup 1
ike 05 cGroup 1
ike 07 cGroup 1
ptrainer 01 cIndex 1
ptrainer 03 cIndex 1
ptrainer 05 cIndex 1
ptrainer 07 cIndex 1
ptrainer 01 nIndex 1
